Actual,Isolation_Forest,XGBoost,LSTM_Autoencoder,Attack_Votes,Final_Consensus
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Attack,1,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
Normal,Normal,Normal,Normal,0,Normal
